OfficeHours_ID,OfficeRecordNo,SequenceNo,DayInt,DayOfWeek,StartTime,EndTime,Comments
436,51233,10,6,Friday,12/30/1899,12/30/1899,
437,53382,2,2,Monday,12/30/1899,12/30/1899,
438,53382,4,3,Tuesday,12/30/1899,12/30/1899,
439,53382,6,4,Wednesday,12/30/1899,12/30/1899,
440,53382,8,5,Thursday,12/30/1899,12/30/1899,
441,53382,10,6,Friday,12/30/1899,12/30/1899,
442,53382,12,7,Saturday,12/30/1899,12/30/1899,
443,51616,2,2,Monday,12/30/1899,12/30/1899,
444,51616,4,3,Tuesday,12/30/1899,12/30/1899,
445,51616,6,4,Wednesday,12/30/1899,12/30/1899,
446,51616,8,5,Thursday,12/30/1899,12/30/1899,
447,51616,10,6,Friday,12/30/1899,12/30/1899,
448,50902,2,3,Tuesday,12/30/1899,12/30/1899,
449,50902,4,2,Monday,12/30/1899,12/30/1899,
450,50902,6,4,Wednesday,12/30/1899,12/30/1899,
451,50902,8,5,Thursday,12/30/1899,12/30/1899,
452,50902,10,6,Friday,12/30/1899,12/30/1899,
453,50871,2,2,Monday,12/30/1899,12/30/1899,
454,50871,4,3,Tuesday,12/30/1899,12/30/1899,
455,50871,6,4,Wednesday,12/30/1899,12/30/1899,
456,50871,8,5,Thursday,12/30/1899,12/30/1899,
457,50871,10,6,Friday,12/30/1899,12/30/1899,
458,54845,2,4,Wednesday,12/30/1899,12/30/1899,
459,54840,2,2,Monday,12/30/1899,12/30/1899,
460,54840,4,3,Tuesday,12/30/1899,12/30/1899,
461,54840,6,4,Wednesday,12/30/1899,12/30/1899,
462,54840,8,5,Thursday,12/30/1899,12/30/1899,
463,54840,10,6,Friday,12/30/1899,12/30/1899,
464,54629,2,8,Mon - Fri,12/30/1899,12/30/1899,
465,1184,2,2,Monday,12/30/1899,12/30/1899,
466,1184,4,3,Tuesday,12/30/1899,12/30/1899,
467,1184,6,4,Wednesday,12/30/1899,12/30/1899,
468,1184,8,5,Thursday,12/30/1899,12/30/1899,
469,1184,10,6,Friday,12/30/1899,12/30/1899,
470,54687,2,8,Mon - Fri,12/30/1899,12/30/1899,
471,54688,2,8,Mon - Fri,12/30/1899,12/30/1899,
472,51862,2,2,Monday,12/30/1899,12/30/1899,
473,51862,4,3,Tuesday,12/30/1899,12/30/1899,
474,51862,6,4,Wednesday,12/30/1899,12/30/1899,
475,51862,8,5,Thursday,12/30/1899,12/30/1899,
476,51862,10,6,Friday,12/30/1899,12/30/1899,
